feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko02020	Group	Jackson Labs	0.0125485208293486	0.00573479046852599	50	50	0.0340135741936933	0.11620295809945
ko05215	Group	Harvard BRI	0.00158711283388467	0.000731214751912484	50	50	0.0354066014880221	0.118550627734765
ko01055	Group	Jackson Labs	0.00116232103053669	0.000534235452911781	50	50	0.0349939034137978	0.118550627734765
ko04914	Group	Harvard BRI	0.00158711283388467	0.000731214751912484	50	50	0.0354066014880221	0.118550627734765
ko04612	Group	Harvard BRI	0.00158711283388467	0.000731214751912484	50	50	0.0354066014880221	0.118550627734765
ko05111	Group	Broad Institute	0.00110459784903847	0.000507295162361077	50	50	0.0348544543595709	0.118550627734765
ko00930	Group	Harvard BRI	-0.0026383175232741	0.00121577011463254	50	50	0.0354416980832059	0.118550627734765
ko03008	Group	Broad Institute	-0.000861529788506994	0.000397294323095817	50	50	0.0355696617985237	0.118565539328412
ko00622	Group	Broad Institute	-0.00283648738876318	0.00130986922588436	50	50	0.0358142513025444	0.118967755191843
ko00300	Group	Jackson Labs	-0.00158237472362389	0.000734055239282645	50	50	0.0366195097341912	0.121223204637323
ko00260	Group	Harvard BRI	0.00242225517004581	0.00112635898252271	50	50	0.0370479862198522	0.121294376872729
ko00627	Group	Brd__ar Transplant	0.00456236218717636	0.00212113158675238	50	50	0.0370152080695785	0.121294376872729
ko00290	Group	Jackson Labs	0.0062290588675303	0.00289812114153896	50	50	0.0371464029172733	0.121294376872729
ko00330	Group	Jackson Labs	0.00474692837920551	0.00220575197068141	50	50	0.0369183949157868	0.121294376872729
ko00253	Group	Brd__ar Transplant	0.00371456116803862	0.00173768674976214	50	50	0.0381395273555451	0.124115072072282
ko00362	Group	Har__ar Transplant	-0.00427460518096091	0.00200601669710608	50	50	0.0387236491605514	0.12559021349368
ko05020	Group	Jackson Labs	0.00254618566211044	0.00119786269650642	50	50	0.039186106783191	0.126662163339607
ko04142	Group	Jackson Labs	0.00757568104815094	0.00357473616739626	50	50	0.0397507874564409	0.127623626548269
ko02010	Group	Brd__ar Transplant	0.013659174153075	0.00644984349887741	50	50	0.0398823832963339	0.127623626548269
ko05014	Group	Broad Institute	0.00263275752046685	0.00124312092592556	50	50	0.0398727048485747	0.127623626548269
ko03410	Group	Harvard BRI	-0.00206352906336993	0.000976941315002379	50	50	0.0403780440823409	0.128780472820755
ko00660	Group	Jackson Labs	0.00556515666333499	0.00263830034240774	50	50	0.0406372739364339	0.129178089334359
ko00270	Group	Jackson Labs	0.00204532969148711	0.000971024291991867	50	50	0.0409113318385643	0.129620061270699
ko00900	Group	Broad Institute	-0.00134858880938687	0.000640907662994531	50	50	0.0411106512668881	0.129823109263857
ko00910	Group	Brd__ar Transplant	-0.00324590903561636	0.0015448744016063	50	50	0.0413961916119768	0.130296209663927
ko00730	Group	Har__ar Transplant	-0.00318539439147034	0.00152060107809962	50	50	0.0419772497371249	0.131693332508627
ko00562	Group	Broad Institute	-0.0022487201570354	0.0010760474258092	50	50	0.0424494609833925	0.132090742070438
ko03060	Group	Harvard BRI	-0.00118401641730951	0.000566763354460986	50	50	0.0425167076039223	0.132090742070438
ko05200	Group	Brd__ar Transplant	-0.00197743958398236	0.000946158313676081	50	50	0.0424333845482002	0.132090742070438
ko00061	Group	Brd__ar Transplant	0.0024533934960784	0.00118260414411975	50	50	0.0439076788083855	0.13597216663242
ko00253	Group	Jackson Labs	0.00374901291124685	0.00181495461710321	50	50	0.044784507445587	0.138241566391523
ko00281	Group	Jackson Labs	-0.00350898844202456	0.00170036362584572	50	50	0.0449780707811935	0.138394063942134
ko00523	Group	Brd__ar Transplant	-0.00247372541830196	0.00120110613654168	50	50	0.045389579626157	0.139214046137734
ko00010	Group	Brd__ar Transplant	0.00605497936106304	0.00295976184436703	50	50	0.046785776154416	0.143039315631336
ko00626	Group	Brd__ar Transplant	0.00605134494646567	0.00296468229376253	50	50	0.0472625196509823	0.144038155126803
ko03060	Group	Broad Institute	-0.00115499431430098	0.000566763354460987	50	50	0.04760209426895	0.14461395727276
ko04260	Group	Harvard BRI	0.00311014766324629	0.00153872182906697	50	46	0.0493630333139025	0.149020477928762
ko00312	Group	Brd__ar Transplant	0.00640812850296684	0.00317018065138293	50	50	0.0493498592494749	0.149020477928762
ko03070	Group	Harvard BRI	0.00146662622096116	0.000727657223706325	50	50	0.0499806461021813	0.150411975730702
ko00740	Group	Har__ar Transplant	0.00316066051641544	0.00157926338352143	50	50	0.0515454667700786	0.154489228730604
ko00941	Group	Broad Institute	0.000216982203880904	0.000108472081047038	50	9	0.0516573358567957	0.154489228730604
ko00562	Group	Brd__ar Transplant	-0.00249476995603536	0.00125066025243004	50	50	0.0522861265871489	0.154921856554515
ko05219	Group	Broad Institute	0.00086302885118872	0.000432394889010241	50	16	0.0521544803339524	0.154921856554515
ko00830	Group	Harvard BRI	-0.00425727315740892	0.0021315582824268	50	50	0.0520044361262756	0.154921856554515
ko03420	Group	Harvard BRI	-0.00157379760411988	0.000789589508567059	50	50	0.0524648490090787	0.154973092457586
ko00510	Group	Brd__ar Transplant	-0.00252212915434131	0.00127486249494116	50	50	0.0541707559140587	0.159521244409498
ko00830	Group	Har__ar Transplant	-0.00489506717955806	0.00247745141675748	50	50	0.0544636862725932	0.159893390892017
ko00061	Group	Jackson Labs	0.0024276682412774	0.00123518974399116	50	50	0.0556971981146508	0.162028212697166
ko00100	Group	Har__ar Transplant	0.00257450568687063	0.00130890963890442	50	32	0.0555197801858518	0.162028212697166
ko00603	Group	Har__ar Transplant	-0.00489243283984262	0.00248808512698411	50	50	0.0555870012246253	0.162028212697166
ko00281	Group	Harvard BRI	0.00275036032510431	0.00140068213919765	50	50	0.0559167549952849	0.162175482765781
ko03008	Group	Harvard BRI	-0.000776982723701181	0.000397294323095816	50	50	0.0568706510985837	0.164445256188676
ko00362	Group	Jackson Labs	-0.00405340751260206	0.0020952161066413	50	50	0.0594850172425817	0.171488337996632
ko00521	Group	Brd__ar Transplant	-0.00272206994823346	0.0014102275428738	50	50	0.0600391664780514	0.172567664128531
ko04910	Group	Broad Institute	0.0017860326920383	0.000927369222840274	50	50	0.0605919196545942	0.173344172896523
ko00982	Group	Harvard BRI	-0.00400267965061708	0.00207898794607533	50	50	0.060670460513783	0.173344172896523
ko00980	Group	Harvard BRI	-0.00399633955497042	0.00207918773684081	50	50	0.061087485516242	0.173502917442581
ko02030	Group	Broad Institute	0.0157777486083124	0.00820643354146123	50	50	0.0610177450496925	0.173502917442581
ko00010	Group	Har__ar Transplant	-0.00567472916880062	0.00295976184436703	50	50	0.0617076745265644	0.17444076013506
ko00524	Group	Har__ar Transplant	-0.00140123516299716	0.000731055114542806	50	50	0.0617811025478337	0.17444076013506
ko00630	Group	Brd__ar Transplant	-0.00399200563112438	0.00209285761584221	50	50	0.0630040039058953	0.177371975805453
ko00540	Group	Jackson Labs	-0.0128171474149436	0.00674554184646139	50	50	0.0639865502019281	0.179611368987868
ko00312	Group	Har__ar Transplant	0.00600307601489077	0.00317018065138293	50	50	0.0648641470648709	0.181016224367082
ko00473	Group	Brd__ar Transplant	0.00290403386809604	0.00153265379430544	50	50	0.0647053318260364	0.181016224367082
ko00643	Group	Brd__ar Transplant	-0.00195116160717806	0.00103188740759123	50	50	0.065238057679118	0.181531986585372
ko01055	Group	Harvard BRI	-0.000830466635967781	0.000440078842928387	50	50	0.0657569802569753	0.181921328664831
ko03020	Group	Broad Institute	0.00401008601534723	0.00212498490117103	50	50	0.0657533058394074	0.181921328664831
ko00260	Group	Jackson Labs	0.00254331942038767	0.00136734794421188	50	50	0.0695729916653082	0.186582628412044
